method,seed,train_size,r,K,h,time,rmseC,rmseC_alg,f1_1,f1_2,f1_3,macro_f1,weighted_f1,f1_1_dip,f1_2_dip,f1_3_dip,macro_f1_dip,weighted_f1_dip,rmse1,rmse5,rmse10,rmse12,rmse15,mae1,mae5,mae10,mae12,mae15,mape1,mape5,mape10,mape12,mape15,x_forecast,c_predicted
UDE-NN,49858,300,1,10,1,189.534,0.1699,0.72877,0.9621,0.76087,0.45614,0.72637,0.83593,0.74184,0.37576,0,0.37253,0.65024,0.59601,0.3064,0.2359,0.21535,0.19734,0.59601,0.20065,0.15095,0.1258,0.11421,100,8741.09311,4420.53871,386376.6522,896760.5233,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0e-5, 1.0e-5, 2.0e-5, 3.0e-5, 5.0e-5, 9.0e-5, 0.00015, 0.00027]","[-0.14434, -0.16323, -0.19877, -0.19319, -0.20937, -0.16019, -0.08731, -0.07094, 0.10514, 0.06646, 0.25834, 0.16652, 0.11804, 0.19266, 0.0988, 0.05538, 0.14794, 0.20347, 0.13602, 0.15289, 0.21434, 0.26629, 0.30109, 0.2668, 0.34308, 0.3045, 0.25395, 0.15197, 0.27941, 0.29662, 0.17957, 0.26298, 0.4205, 0.49735, 0.39132, 0.43177, 0.44362, 0.48636, 0.55945, 0.59071, 0.56614, 0.42915, 0.56689, 0.57525, 0.41568, 0.24784, 0.32323, 0.2808, 0.23747, 0.38288, 0.56732, 0.61047, 0.72576, 0.62505, 0.64109, 0.64343, 0.72691, 0.84363, 0.63879, 0.66778, 0.53595, 0.52158, 0.5043, 0.52161, 0.39488, 0.34334, 0.52232, 0.63519, 0.74506, 0.74412, 0.69127, 0.589, 0.71801, 0.73485, 0.83362, 0.81841, 0.68497, 0.75119, 0.67685, 0.69428, 0.8974, 0.87232, 0.92111, 0.98334, 1.01279, 0.8392, 0.92645, 0.92549, 0.84764, 0.90616, 0.97975, 1.06882, 1.05223, 0.9273, 0.87976, 0.92437, 1.05773, 1.06935, 1.08167, 1.05847, 1.06155, 1.10769, 1.17168, 1.14989, 1.09607, 0.97813, 0.99956, 0.97204, 1.00085, 0.84147, 0.89443, 1.00419, 1.12623, 1.1788, 1.1311, 1.15676, 1.01831, 0.78746, 0.94448, 1.10663, 1.26852, 1.33525, 1.23199, 1.23673, 1.22483, 1.25766, 1.25833, 1.22349, 1.10755, 1.13257, 1.07222, 1.25579, 1.28268, 1.31164, 1.38828, 1.33238, 1.42612, 1.70215, 1.67726, 1.58621, 1.58554, 1.68351, 1.51875, 1.4279, 1.31328, 1.30832, 1.42226, 1.58169, 1.56188, 1.44682, 1.51846, 1.48648, 1.4043, 1.43725, 1.49782, 1.54552, 1.43244, 1.36062, 1.38892, 1.57264, 1.58163, 1.54245, 1.52714, 1.59916, 1.53483, 1.63534, 1.74394, 1.60187, 1.61581, 1.73339, 1.83092, 1.76608, 1.81876, 1.82063, 1.90337, 1.81926, 1.73143, 1.83182, 1.7444, 1.58234, 1.49356, 1.4323, 1.57507, 1.65479, 1.69825, 1.67572, 1.79697, 1.97093, 2.06714, 2.06767, 2.06448, 2.03314, 1.93101, 1.84231, 1.86019, 1.95863, 1.97599, 1.93959, 1.86474, 1.94441, 2.04478, 2.19833, 2.2467, 2.17239, 2.29113, 2.29608, 2.29757, 2.20324, 2.06715, 2.00049, 1.88272, 1.82008, 1.8899, 1.95207, 1.85898, 2.01609, 1.87934, 2.00315, 2.11187, 2.08411, 2.14363, 2.19939, 2.29534, 2.27985, 2.20407, 2.25872, 2.30459, 2.397, 2.41577, 2.39621, 2.40312, 2.48947, 2.47784, 2.40039, 2.37828, 2.34021, 2.24283, 2.14446, 2.22032, 2.25574, 2.23752, 2.32617, 2.30112, 2.21429, 2.29132, 2.46374, 2.3738, 2.34562, 2.38642, 2.58094, 2.66142, 2.56463, 2.5427, 2.47807, 2.3874, 2.51341, 2.53621, 2.66225, 2.66351, 2.4934, 2.38472, 2.50837, 2.58315, 2.53191, 2.63279, 2.66337, 2.76141, 2.76869, 2.73796, 2.61223, 2.67418, 2.77326, 2.78496, 2.71402, 2.72049, 2.77453, 2.61412, 2.50666, 2.47084, 2.49759, 2.48153, 2.46696, 2.46456, 2.4679, 2.46249, 2.45638, 2.45022, 2.45417, 2.44892, 2.45686, 2.44991, 2.44265, 2.45433, 2.44454, 2.45294, 2.47533, 2.49834, 2.51478, 2.52436, 2.53341]"
GP,49858,300,1,10,1,1288.471,0.36842,0.72877,0.93801,0.81988,0.44828,0.73539,0.83791,0.74652,0.25352,0,0.33335,0.62511,0.59601,0.3064,0.2359,0.21535,0.19734,0.59601,0.20065,0.15095,0.1258,0.11421,100,8741.0933,4420.5388,386378.48,896772.7006,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0e-5, 1.0e-5, 2.0e-5, 3.0e-5, 5.0e-5, 9.0e-5, 0.00015, 0.00027]","[-0.05935, -0.04451, -0.03006, -0.01547, -0.00218, 0.01128, 0.02406, 0.03698, 0.05176, 0.06648, 0.08128, 0.09601, 0.11073, 0.12518, 0.13815, 0.14727, 0.15637, 0.16642, 0.17574, 0.18745, 0.19908, 0.21064, 0.22293, 0.23613, 0.25026, 0.26314, 0.27754, 0.29239, 0.30724, 0.32091, 0.33485, 0.34734, 0.35681, 0.3663, 0.37904, 0.39174, 0.40153, 0.41033, 0.41954, 0.42806, 0.43599, 0.44578, 0.45562, 0.46626, 0.47998, 0.48913, 0.50166, 0.51319, 0.52534, 0.5323, 0.54157, 0.5457, 0.55282, 0.56323, 0.57591, 0.5898, 0.6033, 0.61765, 0.63176, 0.64592, 0.65856, 0.67155, 0.68335, 0.69355, 0.70262, 0.71334, 0.72418, 0.73583, 0.74727, 0.75745, 0.76364, 0.7677, 0.77179, 0.77435, 0.77589, 0.77691, 0.77943, 0.78078, 0.78571, 0.79041, 0.79477, 0.79705, 0.80447, 0.81198, 0.82075, 0.83185, 0.84224, 0.85499, 0.86873, 0.88297, 0.89714, 0.9119, 0.92669, 0.94113, 0.95568, 0.97052, 0.98514, 0.99815, 1.01159, 1.02441, 1.03682, 1.05156, 1.06606, 1.08043, 1.09489, 1.10909, 1.12357, 1.13832, 1.15317, 1.16628, 1.17983, 1.19409, 1.20893, 1.22371, 1.23818, 1.25174, 1.26317, 1.27201, 1.28063, 1.29144, 1.30133, 1.30722, 1.30784, 1.3025, 1.2953, 1.28926, 1.28335, 1.27807, 1.27011, 1.26422, 1.26369, 1.26977, 1.28208, 1.29382, 1.30674, 1.32089, 1.33427, 1.34884, 1.36363, 1.37715, 1.39016, 1.40294, 1.41124, 1.4153, 1.41654, 1.40993, 1.40267, 1.3968, 1.38815, 1.38276, 1.37886, 1.38093, 1.38541, 1.39242, 1.40478, 1.41875, 1.4328, 1.44512, 1.45603, 1.4638, 1.4664, 1.46501, 1.46208, 1.46207, 1.46814, 1.48104, 1.49587, 1.51012, 1.52198, 1.53383, 1.5468, 1.56094, 1.57573, 1.59009, 1.60226, 1.61428, 1.62555, 1.63832, 1.65248, 1.66658, 1.6809, 1.69498, 1.70842, 1.72084, 1.73351, 1.7448, 1.75598, 1.76816, 1.78262, 1.79716, 1.81173, 1.82301, 1.83326, 1.84392, 1.85531, 1.86526, 1.87656, 1.88566, 1.89734, 1.90973, 1.91836, 1.9305, 1.94245, 1.95391, 1.96381, 1.97156, 1.98231, 1.99001, 1.99697, 2.00563, 2.01245, 2.01853, 2.02605, 2.03582, 2.04606, 2.05619, 2.06493, 2.07868, 2.09053, 2.1017, 2.11311, 2.12648, 2.14012, 2.15453, 2.16937, 2.18385, 2.19744, 2.21162, 2.22645, 2.24123, 2.25601, 2.2707, 2.2845, 2.29677, 2.30836, 2.32162, 2.3364, 2.35115, 2.36599, 2.37948, 2.39362, 2.40763, 2.42246, 2.43729, 2.45136, 2.46605, 2.48088, 2.49564, 2.51049, 2.52533, 2.54013, 2.55427, 2.56662, 2.57814, 2.59177, 2.60633, 2.62088, 2.63525, 2.6482, 2.66024, 2.67184, 2.68547, 2.70007, 2.70768, 2.70966, 2.7078, 2.7027, 2.69073, 2.67439, 2.65408, 2.63042, 2.61092, 2.59331, 2.57555, 2.55837, 2.54222, 2.52276, 2.48759, 2.44428, 2.38746, 2.31786, 2.24001, 2.16348, 2.08952, 2.01357, 1.93556, 1.85788, 1.78054, 1.70782, 1.632, 1.55919, 1.48359, 1.40846, 1.33712, 1.26301, 1.19183, 1.11937, 1.04501, 0.96914, 0.89141]"
ARIMA,49858,300,1,10,1,22.146,,,,,,,,,,,,,0.25082,0.18772,0.20221,0.20113,0.20098,0.25082,0.15801,0.18029,0.17879,0.17716,42.08351,5.82E+10,2.91E+10,5.28E+10,4.55E+10,"[0.34519, 0.12625, 0.18414, 0.29077, 0.04671, 0.37691, 0.02547, 0.33224, 0.12484, 0.19899, 0.26582, 0.07669, 0.34766, 0.04861, 0.31921, 0.12581, 0.20973, 0.24589, 0.10172, 0.3224]",
RandomWalk,49858,300,1,10,1,1.12,,,,,,,,,,,,,0.59601,0.3064,0.2359,0.21535,0.19734,0.59601,0.20065,0.15095,0.1258,0.11421,100,80,90,75,73.33333,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
LSTM,49858,300,1,10,1,297.966,,,,,,,,,,,,,1.02533,2.85066,4.61271,5.37815,6.02894,1.02533,2.67187,4.2198,4.88202,5.52977,172.03332,6.92E+11,3.46E+11,1.65E+12,1.87E+12,"[1.62133, 2.45497, 2.89599, 3.45963, 3.93065, 4.49059, 5.1101, 5.80737, 6.57344, 7.36342, 8.01016, 8.37614, 8.45491, 8.25802, 7.85296, 7.35363, 6.88293, 6.51112, 6.2187, 5.94613]",
Alg_c,49858,300,1,10,1,0,0.72877,0.72877,0.90343,0.66667,0.59016,0.72009,0.79694,0.7439,0.25185,0,0.33192,0.63789,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03063, 0.0, 0.56112, 0.0, 0.85812, 0.05425, 0.0, 0.53306, 0.0, 0.0, 0.23599, 0.46525, 0.0, 0.04865, 0.22802, 0.31052, 0.4522, 0.05355, 0.56151, 0.32655, 0.41036, 0.0, 0.47545, 0.56128, 0.0, 0.07782, 0.57637, 0.87924, 0.08669, 0.45308, 0.37999, 0.42672, 0.65848, 0.74613, 0.73683, 0.0, 0.71317, 0.89802, 0.47222, 0.0, 0.51699, 0.18171, 0.0, 0.3687, 0.84547, 0.56393, 1.14402, 0.40797, 0.66695, 0.4815, 0.63792, 1.53443, 0.11241, 0.97579, 0.29443, 0.51343, 0.47766, 0.80117, 0.20936, 0.0, 0.62145, 0.65007, 0.98479, 0.90731, 0.721, 0.15569, 0.80001, 0.69168, 1.12213, 0.98038, 0.31125, 0.93337, 0.45827, 0.41353, 1.31968, 0.77583, 0.87691, 1.06059, 1.3595, 0.35111, 1.07748, 1.08941, 0.56306, 0.87377, 0.92912, 1.25809, 1.27794, 0.74299, 0.72408, 0.76204, 1.30236, 1.0585, 1.14881, 1.01243, 0.9791, 1.0539, 1.35296, 1.1716, 1.27878, 0.63932, 1.11373, 0.78087, 1.51219, 0.32741, 0.84773, 0.98538, 1.24601, 1.39222, 0.88715, 1.49801, 1.34384, 0.0, 1.06447, 1.06383, 1.38467, 1.7827, 0.78681, 1.41634, 1.05652, 1.35998, 1.25449, 1.56579, 0.52535, 1.69776, 0.27975, 1.69739, 1.21938, 1.16219, 1.7581, 0.98329, 1.01754, 2.33623, 1.73115, 1.38222, 1.25643, 2.40308, 1.14327, 1.62002, 1.08573, 1.09575, 1.20413, 2.10453, 1.85752, 0.69302, 1.91135, 1.63243, 1.06564, 1.42904, 1.48744, 1.90375, 1.31154, 1.22044, 0.96595, 2.06724, 1.59657, 1.50981, 1.16547, 2.17335, 1.04962, 1.60074, 2.28052, 1.27336, 1.39034, 1.75515, 2.19725, 1.44455, 1.96648, 1.64267, 2.24758, 1.82841, 1.31506, 2.23768, 1.87991, 1.42129, 1.46567, 1.01913, 1.69144, 1.72508, 1.81824, 1.38207, 1.65374, 2.11916, 2.24733, 2.03071, 2.12536, 2.17686, 1.91046, 1.61345, 1.67082, 2.13909, 2.1033, 2.04587, 1.53187, 1.85478, 1.9298, 2.40266, 2.48684, 1.8077, 2.47547, 2.30091, 2.50387, 2.30867, 1.93999, 2.0722, 1.74089, 1.52235, 1.89707, 2.25335, 1.45528, 2.61107, 1.26333, 2.03725, 2.3805, 1.91685, 2.16305, 2.10017, 2.51344, 2.41983, 1.8953, 2.3724, 2.16396, 2.5581, 2.483, 2.3552, 2.21171, 2.70913, 2.59747, 2.28864, 2.39681, 2.46078, 2.29708, 1.74958, 2.30365, 2.36492, 1.98274, 2.58076, 2.48348, 1.84293, 2.05109, 3.08914, 2.14109, 2.2688, 2.05548, 2.77127, 3.04999, 2.25257, 2.69093, 2.60129, 1.85417, 2.86015, 2.20599, 2.90148, 3.04829, 2.33747, 1.86257, 2.56089, 2.98006, 1.95675, 3.03016, 2.30087, 3.09366, 2.66619, 3.33722, 1.68747, 2.67455, 3.042, 3.09257, 2.36303, 2.40923, 3.61207, 2.15931, 2.34078, 2.23275, 3.19598, NaN, 0.0, 1.99985, 4.33806, 0.0, 9.51815, 0.0, 2.92976, 0.0, 2.92625, 4.98519, 0.0, 3.18297, 0.0, 2.12868, 2.32226, 3.07361, 7.25288, NaN]"
UDE-NN,60467,300,1,10,1,203.977,0.18777,3.72352,0.99717,0.83598,0.42308,0.75207,0.8745,0.9396,0.59355,0.32836,0.6205,0.74672,0.55349,0.27884,0.29146,0.30431,0.29596,0.55349,0.22406,0.2507,0.26583,0.25569,5.53E+11,1.11E+11,5.53E+10,8.45E+10,6.76E+10,"[0.55349, 0.52653, 0.51371, 0.50494, 0.4975, 0.49066, 0.48418, 0.478, 0.4721, 0.46643, 0.461, 0.45579, 0.45077, 0.44594, 0.4413, 0.43682, 0.43249, 0.42832, 0.42429, 0.4204]","[0.00585, 0.04382, 0.04149, 0.00063, -0.05456, 0.03242, 0.11946, 0.07257, 0.05238, 0.08736, 0.00908, 0.03597, -0.00485, 0.01378, 0.02702, 0.10239, 0.11363, 0.18832, 0.23484, 0.23276, 0.20096, 0.09716, 0.11919, 0.09257, 0.23372, 0.20267, 0.14382, 0.19147, 0.28914, 0.30277, 0.30256, 0.43297, 0.57509, 0.61766, 0.60252, 0.56426, 0.41266, 0.37751, 0.27311, 0.27911, 0.37288, 0.39666, 0.46145, 0.52218, 0.58159, 0.58456, 0.56159, 0.63632, 0.64462, 0.65554, 0.55124, 0.60254, 0.70845, 0.74607, 0.75636, 0.71268, 0.5338, 0.41706, 0.62181, 0.61412, 0.60429, 0.62674, 0.66576, 0.64524, 0.70328, 0.67873, 0.59952, 0.54968, 0.60795, 0.57376, 0.55764, 0.66426, 0.75359, 0.90202, 0.83876, 0.80673, 0.72492, 0.64457, 0.6923, 0.69108, 0.65868, 0.70921, 0.77712, 0.84447, 0.89745, 0.96048, 0.91959, 0.92334, 0.79669, 0.6906, 0.77775, 0.79057, 0.79626, 0.87441, 0.9663, 0.88554, 0.91025, 0.92705, 0.93164, 0.89085, 0.8763, 0.90682, 0.90229, 0.86018, 0.92353, 0.81989, 0.83569, 0.91771, 1.0245, 1.01419, 1.06416, 1.14291, 1.11134, 1.1312, 1.16256, 1.13926, 1.1145, 1.07745, 1.05987, 1.14876, 1.12883, 1.15687, 1.13484, 1.02391, 1.0689, 1.21646, 1.30268, 1.34616, 1.3448, 1.26892, 1.37487, 1.44873, 1.41416, 1.52882, 1.60371, 1.7322, 1.74264, 1.64525, 1.47774, 1.33495, 1.24201, 1.2438, 1.35176, 1.38043, 1.26662, 1.18109, 1.26876, 1.34475, 1.35983, 1.57153, 1.62319, 1.60806, 1.58462, 1.65966, 1.67476, 1.58264, 1.47374, 1.47006, 1.49614, 1.60981, 1.62756, 1.55721, 1.48989, 1.50731, 1.53088, 1.54112, 1.5223, 1.53809, 1.68876, 1.72253, 1.67231, 1.65379, 1.72646, 1.73353, 1.72016, 1.73211, 1.75304, 1.73882, 1.69548, 1.76984, 1.81508, 1.79887, 1.85728, 1.86504, 1.83254, 1.86433, 1.86384, 1.93122, 2.00189, 1.98059, 1.95997, 1.8417, 1.84157, 1.88532, 1.89878, 1.92242, 1.91619, 1.97917, 1.98324, 1.95523, 1.96126, 2.02673, 2.16462, 2.20038, 2.19832, 2.07316, 2.07244, 2.12454, 2.14557, 2.17686, 2.21821, 2.21297, 2.23593, 2.14588, 2.1276, 2.17664, 2.15413, 2.14672, 2.21186, 2.26733, 2.30095, 2.19939, 2.13736, 2.13027, 2.10092, 2.07849, 2.07374, 2.05709, 2.09501, 2.1513, 2.22826, 2.25462, 2.25575, 2.24893, 2.22559, 2.19243, 2.17996, 2.18782, 2.19913, 2.19706, 2.20845, 2.20469, 2.21443, 2.18758, 2.17024, 2.16531, 2.16931, 2.2089, 2.18877, 2.14416, 2.09003, 2.02569, 1.96763, 1.92271, 1.90871, 1.95983, 2.04007, 2.0736, 2.1083, 2.14264, 2.18634, 2.20972, 2.23602, 2.26024, 2.28461, 2.29663, 2.30792, 2.31943, 2.33099, 2.34254, 2.35646, 2.37667, 2.39558, 2.43271, 2.45378, 2.47341, 2.48098, 2.48183, 2.48012, 2.4807, 2.49268, 2.47517, 2.46576, 2.47155, 2.48369, 2.46771, 2.4522, 2.47144, 2.52699, 2.62099, 2.6778, 2.73162, 2.75474, 2.77708, 2.79316, 2.79527, 2.79912, 2.80733, 2.8113, 2.82061]"
GP,60467,300,1,10,1,1276.503,0.55235,3.72352,0.84051,0.8625,0,0.56767,0.73077,0.7574,0.73016,0,0.49585,0.58945,1.01299,2.73448,7.01866,7.59514,8.10189,1.01299,2.3645,5.91911,6.59651,7.25138,1.01E+12,2.03E+11,1.01E+11,9.47E+11,7.58E+11,"[1.01299, 1.52376, 2.28583, 3.49551, 5.33055, 7.64254, 9.61472, 10.42846, 10.49101, 10.42697, 10.35677, 10.28787, 10.22065, 10.15508, 10.09112, 10.0287, 9.96779, 9.90834, 9.85031, 9.79365]","[-0.01755, -0.00637, 0.0047, 0.01588, 0.02773, 0.03811, 0.04943, 0.05888, 0.06762, 0.07703, 0.08627, 0.09508, 0.10443, 0.11563, 0.12586, 0.13623, 0.14664, 0.15753, 0.16896, 0.17917, 0.18843, 0.1977, 0.20799, 0.21962, 0.2312, 0.24219, 0.25001, 0.25831, 0.26746, 0.27676, 0.28526, 0.29592, 0.30838, 0.31899, 0.32871, 0.33897, 0.34929, 0.36097, 0.37295, 0.38363, 0.39315, 0.40421, 0.41474, 0.42331, 0.43237, 0.44344, 0.45437, 0.46522, 0.47651, 0.48969, 0.50201, 0.51513, 0.52791, 0.53851, 0.55063, 0.56155, 0.57123, 0.57988, 0.58644, 0.59513, 0.60046, 0.60595, 0.61244, 0.6185, 0.62489, 0.63111, 0.638, 0.64438, 0.65198, 0.66127, 0.67211, 0.6838, 0.69509, 0.70711, 0.71858, 0.72715, 0.73412, 0.74028, 0.74673, 0.75613, 0.76551, 0.77617, 0.78826, 0.79997, 0.81175, 0.82294, 0.83304, 0.84186, 0.85254, 0.86263, 0.8731, 0.88498, 0.89751, 0.9117, 0.92691, 0.94213, 0.95508, 0.96832, 0.98, 0.99076, 1.00183, 1.01239, 1.02487, 1.03778, 1.04991, 1.06158, 1.07245, 1.08084, 1.08782, 1.09388, 1.10044, 1.10888, 1.11817, 1.12703, 1.13554, 1.14307, 1.14917, 1.15559, 1.16008, 1.16387, 1.16912, 1.17644, 1.18582, 1.19473, 1.20268, 1.21284, 1.22351, 1.23206, 1.24346, 1.25562, 1.26784, 1.28103, 1.29448, 1.31023, 1.32458, 1.33938, 1.35497, 1.37039, 1.38763, 1.40362, 1.42131, 1.43883, 1.45564, 1.47321, 1.48923, 1.50348, 1.51929, 1.53612, 1.54982, 1.56438, 1.58034, 1.59593, 1.61113, 1.62522, 1.6383, 1.65024, 1.66244, 1.67463, 1.68758, 1.69987, 1.71181, 1.72377, 1.73454, 1.74625, 1.75823, 1.77072, 1.78227, 1.79192, 1.80015, 1.80863, 1.81641, 1.82302, 1.83091, 1.83869, 1.84511, 1.85255, 1.85927, 1.86455, 1.87053, 1.87687, 1.88337, 1.88885, 1.89262, 1.89539, 1.89705, 1.89856, 1.9003, 1.90248, 1.90523, 1.90771, 1.90922, 1.91053, 1.9113, 1.91141, 1.9122, 1.91447, 1.91756, 1.92254, 1.93084, 1.94113, 1.95142, 1.96181, 1.97287, 1.98427, 1.99508, 2.00559, 2.01537, 2.02362, 2.03061, 2.03484, 2.038, 2.04095, 2.0438, 2.04584, 2.04752, 2.04854, 2.04921, 2.05021, 2.05093, 2.05004, 2.04842, 2.04609, 2.04304, 2.03947, 2.03449, 2.02778, 2.01909, 2.00926, 1.99886, 1.98879, 1.97853, 1.96839, 1.95766, 1.94669, 1.93583, 1.92482, 1.91392, 1.90348, 1.89314, 1.88286, 1.87259, 1.86244, 1.85203, 1.84155, 1.83058, 1.8199, 1.80939, 1.79889, 1.78861, 1.77763, 1.76634, 1.75497, 1.74346, 1.73242, 1.72157, 1.71096, 1.70065, 1.68994, 1.6783, 1.66678, 1.65524, 1.64396, 1.63223, 1.6207, 1.60907, 1.59738, 1.58534, 1.57319, 1.56108, 1.54903, 1.53707, 1.52556, 1.51435, 1.5032, 1.49232, 1.48098, 1.46951, 1.45777, 1.44587, 1.43396, 1.42239, 1.41109, 1.39955, 1.38847, 1.37768, 1.36688, 1.35575, 1.34475, 1.33424, 1.32384, 1.3131, 1.3018, 1.29036, 1.27863, 1.26704, 1.25552, 1.24398, 1.23267, 1.22163, 1.21093]"
ARIMA,60467,300,1,10,1,18.967,,,,,,,,,,,,,0.63206,0.34235,0.39089,0.40099,0.40173,0.63206,0.28306,0.33405,0.33485,0.33734,6.32E+11,1.26E+11,6.32E+10,1.05E+11,8.43E+10,"[0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206]",
RandomWalk,60467,300,1,10,1,1.179,,,,,,,,,,,,,0.63206,0.34235,0.39089,0.40099,0.40173,0.63206,0.28306,0.33405,0.33485,0.33734,6.32E+11,1.26E+11,6.32E+10,1.05E+11,8.43E+10,"[0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206, 0.63206]",
LSTM,60467,300,1,10,1,377.284,,,,,,,,,,,,,0.60289,0.32096,0.373,0.38432,0.38535,0.60289,0.26538,0.31645,0.32016,0.32202,6.03E+11,1.21E+11,6.03E+10,1.01E+11,8.11E+10,"[0.60289, 0.59816, 0.60868, 0.60985, 0.61179, 0.61507, 0.61505, 0.61385, 0.61467, 0.61398, 0.61412, 0.6143, 0.61421, 0.61418, 0.61415, 0.6141, 0.61407, 0.61408, 0.61406, 0.61406]",
Alg_c,60467,300,1,10,1,0,3.72352,3.72352,0.90323,0.67133,0.6129,0.72915,0.80676,0.86755,0.59459,0.66667,0.7096,0.78293,,,,,,,,,,,,,,,,,"[0.0, 0.12453, 0.12014, 0.04751, 0.0, 0.00034, 0.39974, 0.0, 0.0, 0.34313, 0.0, 0.19699, 0.0, 0.02988, 0.0, 0.24121, 0.0, 0.23905, 0.32936, 0.27202, 0.36311, 0.0, 0.19848, 0.0, 0.55353, 0.23949, 0.0, 0.09387, 0.46136, 0.32526, 0.02785, 0.38008, 0.7675, 0.71436, 0.61688, 0.7995, 0.17752, 0.50328, 0.06794, 0.11843, 0.51236, 0.31507, 0.4788, 0.52065, 0.69503, 0.64266, 0.34661, 0.79003, 0.64272, 0.87138, 0.235, 0.44127, 0.86337, 0.80481, 0.84954, 0.99019, 0.53068, 0.0, 1.05041, 0.54024, 0.53432, 0.57688, 0.83158, 0.41785, 0.90437, 0.784, 0.54971, 0.29674, 0.83536, 0.52016, 0.30537, 0.70609, 0.65399, 1.33431, 0.72209, 0.92362, 0.77291, 0.33216, 0.80605, 0.75862, 0.48042, 0.66962, 0.77891, 0.87379, 0.86734, 1.19118, 0.76959, 1.19839, 0.76487, 0.2893, 0.9347, 0.79107, 0.64578, 0.89099, 1.32991, 0.67659, 0.90712, 0.94602, 1.02467, 0.84585, 0.78783, 0.98191, 0.97826, 0.6469, 1.25359, 0.59471, 0.72109, 0.82914, 1.33232, 0.82102, 0.99835, 1.39126, 0.9786, 1.10382, 1.28109, 1.11365, 1.14959, 1.09713, 0.73287, 1.50926, 0.95286, 1.25238, 1.38044, 0.64802, 0.88131, 1.32002, 1.36271, 1.42673, 1.5104, 0.88966, 1.41911, 1.61237, 1.13495, 1.58886, 1.52292, 1.9678, 1.99663, 1.84865, 1.40989, 1.15596, 0.9569, 1.03027, 1.53346, 1.72113, 1.16984, 0.82181, 1.18907, 1.45258, 1.01453, 1.86404, 1.80194, 1.62611, 1.3874, 1.76053, 1.88529, 1.61838, 1.2546, 1.40244, 1.31016, 1.81038, 1.80505, 1.53766, 1.31741, 1.50219, 1.55818, 1.60526, 1.49191, 1.22317, 1.9482, 1.88298, 1.58225, 1.44557, 1.88297, 1.75438, 1.66002, 1.69968, 1.82864, 1.84632, 1.39652, 1.85453, 1.98618, 1.54401, 2.00269, 1.99167, 1.58306, 2.07274, 1.64604, 1.90414, 2.2492, 1.81167, 2.34117, 1.46161, 1.79161, 2.03946, 1.81406, 2.08008, 1.66074, 2.14535, 2.04403, 1.89206, 1.86047, 1.87258, 2.37709, 2.22676, 2.47329, 1.80211, 1.98727, 2.21561, 2.10778, 2.11958, 2.37643, 2.00034, 2.64576, 1.90541, 1.92094, 2.48457, 2.10237, 1.94405, 2.29437, 2.16102, 2.82209, 1.93507, 1.95247, 2.30021, 2.06667, 1.93787, 2.46672, 0.13913, 2.16083, 1.59763, 2.8981, 3.2398, 2.23851, 2.91846, 3.42784, 0.0, 1.90829, 2.16306, 2.5607, 1.71445, 2.56033, 1.5079, 3.17673, 0.0, 1.89551, 2.20924, 0.83921, 3.02801, 3.73135, 2.84294, 5.09232, 0.0, 1.55304, 0.90466, 0.40777, 1.67588, 3.35475, 0.0, 3.0091, 0.0, 3.70965, 0.0, 2.8689, 0.0, 4.83899, 62.28739, NaN, 8.09614, 17.72776, NaN, 1.61243, 2.76717, 0.05587, 2.91502, 1.6505, 3.71633, 5.79737, 14.08551, NaN, 0.0, 4.05276, 0.0, 2.03551, 2.294, 3.34115, 2.61554, 0.0, 2.16106, 1.8594, 3.43628, 1.05225, 4.83715, 0.0, 3.28305, 4.07554, 1.48969, 2.52746, 3.01538, 2.58394]"
