method,rmse1,rmse10,rmse20,rmse5,seed
DE-GP,0.100077363,0.103410654,0.139101872,0.047362939,9503
DE-GP,0.029969103,0.034452661,0.073560825,0.029236726,44769
DE-GP,0.028664808,0.054659673,0.049775252,0.066296202,27272
DE-GP,0.035145243,0.037659855,0.045958756,0.046867596,93050
DE-KERNEL,0.335748264,1.633704721,1.769693714,1.913062656,26058
DE-KERNEL,0.438500326,1.685473301,1.813238453,1.898563195,46189
DE-KERNEL,0.117912296,1.579983494,1.666514674,1.874733533,77471
DE-KERNEL,0.120574386,1.52025612,1.687088652,1.703574046,38315
DE-KERNEL,0.352254504,1.645680374,1.807587904,1.910301058,97565
DE-KERNEL,0.570555265,1.739317279,1.830992611,2.036140671,60590
DE-KERNEL,1.186566448,1.67275217,1.741811466,1.864734068,11007
DE-KERNEL,0.326027043,1.550633352,1.63066802,1.626564408,48073
DE-KERNEL,0.466148584,1.853927298,1.928624348,2.223133261,69686
DE-KERNEL,0.326777855,1.586940876,1.645524473,1.805632359,1322
DE-KERNEL,0.320069711,1.649510973,1.77551553,1.880965808,24415
DE-KERNEL,0.088449631,1.589987299,1.770417434,1.809621472,15318
DE-KERNEL,0.474810978,1.571926746,1.690599262,1.848582308,16782
DE-KERNEL,0.421614306,1.575316187,3.035314012,1.825294764,96004
DE-KERNEL,1.058394883,1.585490456,1.679574058,1.901290338,8694
DE-KERNEL,0.037434091,1.54397929,1.774394832,1.773756226,28757
DE-KERNEL,0.241209164,1.725321024,1.923697133,1.986208627,60467
DE-KERNEL,0.303969171,1.736731246,1.814361657,2.014802813,29623
DE-KERNEL,1.038488277,1.535499839,1.741740197,1.628848447,86366
DE-KERNEL,0.349743154,1.747036412,1.776563532,2.000871792,18423
DE-KERNEL,0.223462341,1.810960936,1.909821906,2.11442001,46984
DE-KERNEL,0.511686884,1.503908903,1.609890361,1.750003824,51568
DE-KERNEL,0.527340678,1.696770791,1.851845062,1.931902202,67883
DE-KERNEL,0.553412961,1.714323399,16.07793457,1.944890528,89255
DE-KERNEL,0.015283238,1.753432699,1.730075484,2.003099214,61917
DE-KERNEL,0.183787314,1.484405605,1.640973121,1.690169499,30563
DE-KERNEL,9.606041848,5.246607382,4.369429519,6.131847673,54133
DE-KERNEL,0.047677349,1.535604674,1.733304913,1.713045762,89053
DE-KERNEL,0.575042834,1.520147248,1.675662341,1.801594135,37085
DE-KERNEL,0.513029444,1.665072029,1.727340427,1.929142949,6871
DE-KERNEL,0.137912336,1.534388517,1.702390592,1.836646857,4150
DE-KERNEL,1.031586921,1.750475093,1.908415795,2.051116698,22918
